 EARTHQUAKE TRANSIENT SUMMARY: OUTLET FLOWRATE

   TIME (SEC)     PIPE 1      PIPE 2      PIPE 3      PIPE 4      PIPE 5      PIPE 6      PIPE 7      PIPE 8

   0.00000        22.4        22.4        22.4        22.4        22.4        22.4        22.4        22.4    
  1.732247E-03    2.61        22.3       -7.97        22.3        2.61        22.3        2.61        22.3    
  3.011139E-02   -2.89        20.9       -8.08        20.9       -2.89        20.9       -2.35        20.9    
  7.266594E-02   -5.83        19.5       -7.84        19.5       -5.83        19.5       -5.36        19.5    
  0.129234       -6.98        17.5       -7.64        17.5       -6.98        17.5       -6.91        17.5    
  0.181308       -7.27        15.8       -7.53        15.8       -7.27        15.8       -7.32        15.8    
  0.229578       -7.37        14.3       -7.47        14.3       -7.37        14.3       -7.38        14.3    
  0.275253       -7.41        13.0       -7.44        13.0       -7.41        13.0       -7.41        13.0    
  0.319104       -7.42        11.8       -7.43        11.8       -7.42        11.8       -7.42        11.8    
  0.361716       -7.43        10.7       -7.43        10.7       -7.43        10.7       -7.43        10.7    
  0.403717       -7.43        9.70       -7.43        9.70       -7.43        9.70       -7.43        9.70    
  0.445437       -7.43        8.82       -7.43        8.82       -7.43        8.82       -7.43        8.82    
  0.487183       -7.43        8.02       -7.43        8.02       -7.43        8.02       -7.43        8.02    
  0.529190       -7.43        7.30       -7.43        7.30       -7.43        7.30       -7.43        7.30    
  0.571605       -7.43        6.65       -7.43        6.65       -7.43        6.65       -7.43        6.65    
  0.614616       -7.43        6.05       -7.43        6.05       -7.43        6.05       -7.43        6.05    
  0.658416       -7.43        5.51       -7.43        5.51       -7.43        5.51       -7.43        5.51    
  0.703202       -7.43        5.02       -7.43        5.02       -7.43        5.02       -7.43        5.02    
  0.749177       -7.43        4.58       -7.43        4.58       -7.43        4.58       -7.43        4.58    
  0.796551       -7.43        4.18       -7.43        4.17       -7.43        4.17       -7.43        4.17    
  0.845541       -7.43        3.81       -7.43        3.81       -7.43        3.81       -7.43        3.81    
  0.896370       -7.43        3.47       -7.43        3.47       -7.43        3.47       -7.43        3.47    
  0.949253       -7.43        3.17       -7.43        3.17       -7.43        3.17       -7.43        3.17    
   1.00440       -7.43        2.89       -7.43        2.89       -7.43        2.89       -7.43        2.89    
   1.06197       -7.43        2.64       -7.43        2.64       -7.43        2.64       -7.43        2.64    
   1.12210       -7.43        2.41       -7.43        2.41       -7.43        2.41       -7.43        2.41    
   1.18482       -7.43        2.20       -7.43        2.20       -7.43        2.20       -7.43        2.20    
   1.25004       -7.43        2.00       -7.43        2.00       -7.43        2.00       -7.43        2.00    
   1.31751       -7.43        1.83       -7.43        1.83       -7.43        1.83       -7.43        1.83    
   1.38680       -7.43        1.66       -7.43        1.66       -7.43        1.66       -7.43        1.66    
   1.45732       -7.43        1.51       -7.43        1.51       -7.43        1.51       -7.43        1.51    
   1.52828       -7.43        1.37       -7.43        1.37       -7.43        1.37       -7.43        1.37    
   1.59883       -7.43        1.25       -7.43        1.25       -7.43        1.25       -7.43        1.25    
   1.66810       -7.43        1.13       -7.43        1.13       -7.43        1.13       -7.43        1.13    
   1.73528       -7.43        1.02       -7.43        1.02       -7.43        1.02       -7.43        1.02    
   1.79970       -7.43       0.926       -7.43       0.926       -7.43       0.926       -7.43       0.926    
   1.86084       -7.43       0.837       -7.43       0.837       -7.43       0.837       -7.43       0.837    
   1.91838       -7.43       0.756       -7.43       0.756       -7.43       0.756       -7.43       0.756    
   1.97213       -7.43       0.683       -7.43       0.683       -7.43       0.683       -7.43       0.683    
   2.02202       -7.43       0.616       -7.43       0.616       -7.43       0.616       -7.43       0.616    
   2.06812       -7.43       0.556       -7.43       0.556       -7.43       0.556       -7.43       0.556    
