 EARTHQUAKE TRANSIENT SUMMARY: OUTLET FLOWRATE

   TIME (SEC)     PIPE 1      PIPE 2      PIPE 3      PIPE 4      PIPE 5      PIPE 6      PIPE 7      PIPE 8
   2.11052       -7.43       0.501       -7.43       0.501       -7.43       0.501       -7.43       0.501    
   2.14940       -7.43       0.452       -7.43       0.452       -7.43       0.452       -7.43       0.452    
   2.18495       -7.43       0.407       -7.43       0.407       -7.43       0.407       -7.43       0.407    
   2.21738       -7.43       0.367       -7.43       0.367       -7.43       0.367       -7.43       0.367    
   2.24691       -7.43       0.330       -7.43       0.330       -7.43       0.330       -7.43       0.330    
   2.27376       -7.43       0.298       -7.43       0.298       -7.43       0.298       -7.43       0.298    
   2.29814       -7.43       0.268       -7.43       0.268       -7.43       0.268       -7.43       0.268    
   2.32025       -7.43       0.241       -7.43       0.241       -7.43       0.241       -7.43       0.241    
   2.34028       -7.43       0.217       -7.43       0.217       -7.43       0.217       -7.43       0.217    
   2.35842       -7.43       0.196       -7.43       0.196       -7.43       0.196       -7.43       0.196    
   2.37578       -7.43       0.175       -7.43       0.175       -7.43       0.175       -7.43       0.175    
   2.39320       -7.43       0.155       -7.43       0.155       -7.43       0.155       -7.43       0.155    
   2.41069       -7.43       0.134       -7.43       0.134       -7.43       0.134       -7.43       0.134    
   2.42823       -7.43       0.113       -7.43       0.113       -7.43       0.113       -7.43       0.113    
   2.44582       -7.43       9.281E-02   -7.43       9.279E-02   -7.43       9.279E-02   -7.43       9.278E-02
   2.46348       -7.43       7.226E-02   -7.43       7.224E-02   -7.43       7.224E-02   -7.43       7.223E-02
   2.48118       -7.43       5.172E-02   -7.43       5.171E-02   -7.43       5.171E-02   -7.43       5.170E-02
   2.49832       -7.43       3.192E-02   -7.43       3.191E-02   -7.43       3.191E-02   -7.43       3.190E-02
   2.51272       -7.43       1.533E-02   -7.43       1.532E-02   -7.43       1.532E-02   -7.43       1.531E-02
   2.52265       -7.43       3.928E-03   -7.43       3.914E-03   -7.43       3.912E-03   -7.43       3.904E-03
   2.52623       -7.43      -1.838E-04   -7.43      -1.978E-04   -7.43      -1.992E-04   -7.43      -2.076E-04
   2.53338       -7.43      -8.396E-03   -7.43      -8.409E-03   -7.43      -8.410E-03   -7.43      -8.419E-03
   2.54770       -7.43      -2.477E-02   -7.43      -2.478E-02   -7.43      -2.478E-02   -7.43      -2.479E-02
   2.56567       -7.43      -4.525E-02   -7.43      -4.525E-02   -7.43      -4.526E-02   -7.43      -4.526E-02
   2.58370       -7.43      -6.572E-02   -7.43      -6.573E-02   -7.43      -6.573E-02   -7.43      -6.574E-02
   2.60180       -7.43      -8.620E-02   -7.43      -8.620E-02   -7.43      -8.620E-02   -7.43      -8.621E-02
   2.61996       -7.43      -0.107       -7.43      -0.107       -7.43      -0.107       -7.43      -0.107    
   2.63819       -7.43      -0.127       -7.43      -0.127       -7.43      -0.127       -7.43      -0.127    
   2.65648       -7.43      -0.148       -7.43      -0.148       -7.43      -0.148       -7.43      -0.148    
   2.67484       -7.43      -0.168       -7.43      -0.168       -7.43      -0.168       -7.43      -0.168    
   2.69325       -7.43      -0.189       -7.43      -0.189       -7.43      -0.189       -7.43      -0.189    
   2.71174       -7.43      -0.209       -7.43      -0.209       -7.43      -0.209       -7.43      -0.209    
   2.73060       -7.43      -0.230       -7.43      -0.230       -7.43      -0.230       -7.43      -0.230    
   2.75141       -7.43      -0.253       -7.43      -0.253       -7.43      -0.253       -7.43      -0.253    
   2.77437       -7.43      -0.278       -7.43      -0.278       -7.43      -0.278       -7.43      -0.278    
   2.79973       -7.43      -0.306       -7.43      -0.306       -7.43      -0.306       -7.43      -0.306    
   2.82773       -7.43      -0.336       -7.43      -0.336       -7.43      -0.336       -7.43      -0.336    
   2.85867       -7.43      -0.370       -7.43      -0.370       -7.43      -0.370       -7.43      -0.370    
   2.89285       -7.43      -0.406       -7.43      -0.406       -7.43      -0.406       -7.43      -0.406    
   2.93066       -7.43      -0.447       -7.43      -0.447       -7.43      -0.447       -7.43      -0.447    
   2.97248       -7.43      -0.491       -7.43      -0.491       -7.43      -0.491       -7.43      -0.491    
   3.01878       -7.43      -0.540       -7.43      -0.540       -7.43      -0.540       -7.43      -0.540    
   3.07005       -7.43      -0.593       -7.43      -0.593       -7.43      -0.593       -7.43      -0.593    
   3.12687       -7.43      -0.652       -7.43      -0.652       -7.43      -0.652       -7.43      -0.652    
   3.18989       -7.43      -0.717       -7.43      -0.717       -7.43      -0.717       -7.43      -0.717    
   3.25982       -7.43      -0.788       -7.43      -0.788       -7.43      -0.788       -7.43      -0.788    
   3.33751       -7.43      -0.865       -7.43      -0.865       -7.43      -0.865       -7.43      -0.865    
   3.42390       -7.43      -0.951       -7.43      -0.951       -7.43      -0.951       -7.43      -0.951    
   3.52007       -7.43       -1.04       -7.43       -1.04       -7.43       -1.04       -7.43       -1.04    
   3.62727       -7.43       -1.15       -7.43       -1.15       -7.43       -1.15       -7.43       -1.15    
   3.74694       -7.43       -1.26       -7.43       -1.26       -7.43       -1.26       -7.43       -1.26    
   3.88075       -7.43       -1.38       -7.43       -1.38       -7.43       -1.38       -7.43       -1.38    
   4.03065       -7.43       -1.52       -7.43       -1.52       -7.43       -1.52       -7.43       -1.52    
   4.19893       -7.43       -1.67       -7.43       -1.67       -7.43       -1.67       -7.43       -1.67    
   4.38833       -7.43       -1.83       -7.43       -1.83       -7.43       -1.83       -7.43       -1.83    
   4.60208       -7.43       -2.01       -7.43       -2.01       -7.43       -2.01       -7.43       -2.01    
   4.84411       -7.43       -2.20       -7.43       -2.20       -7.43       -2.20       -7.43       -2.20    
   5.11919       -7.43       -2.41       -7.43       -2.41       -7.43       -2.41       -7.43       -2.41    
   5.43322       -7.43       -2.64       -7.43       -2.64       -7.43       -2.64       -7.43       -2.64    
   5.79357       -7.43       -2.89       -7.43       -2.89       -7.43       -2.89       -7.43       -2.89    
   6.20962       -7.43       -3.16       -7.43       -3.16       -7.43       -3.16       -7.43       -3.16    
   6.69349       -7.43       -3.46       -7.43       -3.46       -7.43       -3.46       -7.43       -3.46    
   7.26123       -7.43       -3.77       -7.43       -3.77       -7.43       -3.77       -7.43       -3.77    
   7.93464       -7.43       -4.12       -7.43       -4.12       -7.43       -4.12       -7.43       -4.12    
   8.74421       -7.43       -4.48       -7.43       -4.48       -7.43       -4.48       -7.43       -4.48    
   9.73422       -7.43       -4.87       -7.43       -4.87       -7.43       -4.87       -7.43       -4.87    
   10.9720       -7.43       -5.28       -7.43       -5.28       -7.43       -5.28       -7.43       -5.28    


 FINAL INLET FLOWRATE:           33.0    
 FINAL LEAKAGE FLOWRATE:         40.4    
